order_id,user_id,city,ordered_place_time,ordered_deliver_time,sku_id,sku_category,qty,price,store_id,rider_id,zone,cust_lat,cust_long,status,delivery_minutes,hour,date,store_lat,store_lon,store_rent
O0000001,U021935,Bengaluru,16-11-2025 14:00,16-11-2025 14:11,P0028,household,3,74.04,S07,R0890,Z21,12.954722,77.562154,delivered,11,14,16-11-2025,12.970112,77.556587,44195
O0000002,U016815,Bengaluru,21-11-2025 13:26,21-11-2025 13:32,P0086,grocery,2,449.42,S01,R0366,Z27,12.954973,77.608995,delivered,6,13,21-11-2025,12.949887,77.614547,101404
O0000003,U021330,Bengaluru,27-11-2025 02:46,27-11-2025 02:50,P0013,beverages,3,81.17,S03,R0232,Z16,12.952881,77.595957,delivered,4,2,27-11-2025,12.950051,77.59937,111200
O0000004,U039088,Bengaluru,15-11-2025 17:28,15-11-2025 17:48,P0054,fruits,1,383.34,S02,R0010,Z28,13.019545,77.616177,delivered,20,17,15-11-2025,13.006367,77.602729,86203
O0000005,U024054,Bengaluru,15-11-2025 08:57,15-11-2025 09:13,P0046,snacks,1,335.9,S02,R0914,Z20,13.02204,77.59406,delivered,16,8,15-11-2025,13.006367,77.602729,86203
O0000006,U019011,Bengaluru,02-11-2025 15:43,02-11-2025 15:51,P0118,dairy,3,384.32,S04,R0719,Z16,12.943338,77.624724,delivered,8,15,02-11-2025,12.942007,77.616026,75662
O0000007,U025164,Bengaluru,06-11-2025 17:46,06-11-2025 17:53,P0071,beverages,1,268.55,S02,R0651,Z28,13.015349,77.601344,delivered,7,17,06-11-2025,13.006367,77.602729,86203
O0000008,U028051,Bengaluru,28-11-2025 13:21,28-11-2025 13:28,P0022,fruits,2,124.59,S07,R0151,Z28,12.958139,77.551343,delivered,7,13,28-11-2025,12.970112,77.556587,44195
O0000009,U029758,Bengaluru,08-11-2025 11:20,08-11-2025 11:28,P0072,snacks,3,343.73,S06,R0578,Z23,12.970997,77.596842,delivered,8,11,08-11-2025,12.976327,77.585333,70255
O0000010,U009847,Bengaluru,02-11-2025 08:58,02-11-2025 09:09,P0042,dairy,3,336.42,S06,R0265,Z15,12.993535,77.583535,delivered,11,8,02-11-2025,12.976327,77.585333,70255
O0000011,U025652,Bengaluru,05-11-2025 06:11,05-11-2025 06:21,P0015,fruits,3,331.59,S04,R0965,Z3,12.954555,77.606722,delivered,10,6,05-11-2025,12.942007,77.616026,75662
O0000012,U008871,Bengaluru,06-11-2025 05:58,06-11-2025 06:11,P0034,fruits,1,338.46,S07,R0008,Z19,12.982021,77.564865,delivered,13,5,06-11-2025,12.970112,77.556587,44195
O0000013,U025915,Bengaluru,26-11-2025 17:54,26-11-2025 18:02,P0085,beverages,2,285.25,S03,R0723,Z25,12.941892,77.598093,delivered,8,17,26-11-2025,12.950051,77.59937,111200
O0000014,U038674,Bengaluru,14-11-2025 11:45,14-11-2025 11:50,P0065,household,3,107.9,S07,R0599,Z2,12.972121,77.547956,delivered,5,11,14-11-2025,12.970112,77.556587,44195
O0000015,U005623,Bengaluru,09-11-2025 07:42,09-11-2025 07:52,P0077,personal_care,3,491.19,S05,R0168,Z22,12.991617,77.571874,delivered,10,7,09-11-2025,13.001428,77.581822,85507
O0000016,U005781,Bengaluru,26-11-2025 06:45,26-11-2025 07:04,P0021,beverages,1,483.6,S06,R0153,Z24,12.974774,77.583723,delivered,19,6,26-11-2025,12.976327,77.585333,70255
O0000017,U026796,Bengaluru,21-11-2025 05:54,21-11-2025 06:04,P0025,dairy,2,19.52,S08,R0028,Z23,12.9558,77.559648,delivered,10,5,21-11-2025,12.950394,77.558158,51894
O0000018,U015243,Bengaluru,11-11-2025 15:17,11-11-2025 15:27,P0100,beverages,3,63.86,S01,R0092,Z1,12.964914,77.628839,delivered,10,15,11-11-2025,12.949887,77.614547,101404
O0000019,U009932,Bengaluru,03-11-2025 18:48,03-11-2025 18:54,P0076,household,1,269.98,S02,R0690,Z25,13.01151,77.599598,delivered,6,18,03-11-2025,13.006367,77.602729,86203
O0000020,U016688,Bengaluru,15-11-2025 21:59,15-11-2025 22:12,P0021,beverages,2,460.57,S07,R0072,Z3,12.981836,77.552868,delivered,13,21,15-11-2025,12.970112,77.556587,44195
O0000021,U004814,Bengaluru,18-11-2025 13:04,18-11-2025 13:08,P0113,household,1,167.47,S07,R0208,Z12,12.968169,77.557958,delivered,4,13,18-11-2025,12.970112,77.556587,44195
O0000022,U013411,Bengaluru,13-11-2025 14:33,13-11-2025 14:43,P0002,fruits,3,461.94,S03,R0186,Z23,12.953227,77.614726,delivered,10,14,13-11-2025,12.950051,77.59937,111200
O0000023,U035389,Bengaluru,10-11-2025 10:18,10-11-2025 10:37,P0042,dairy,2,336.42,S06,R0481,Z18,12.969681,77.594207,delivered,19,10,10-11-2025,12.976327,77.585333,70255
O0000024,U009104,Bengaluru,18-11-2025 16:31,18-11-2025 16:40,P0016,household,1,179.96,S05,R0886,Z6,12.993843,77.592072,delivered,9,16,18-11-2025,13.001428,77.581822,85507
O0000025,U013857,Bengaluru,06-11-2025 16:26,06-11-2025 16:31,P0080,snacks,2,265.53,S02,R0631,Z28,13.003251,77.602234,delivered,5,16,06-11-2025,13.006367,77.602729,86203
O0000026,U020140,Bengaluru,31-10-2025 21:30,31-10-2025 21:35,P0100,beverages,1,63.86,S02,R0073,Z21,13.011731,77.603425,delivered,5,21,31-10-2025,13.006367,77.602729,86203
O0000027,U027205,Bengaluru,10-11-2025 19:24,10-11-2025 19:35,P0059,dairy,2,333.18,S04,R0196,Z22,12.955628,77.621934,delivered,11,19,10-11-2025,12.942007,77.616026,75662
O0000028,U002069,Bengaluru,01-11-2025 21:19,01-11-2025 21:32,P0046,snacks,3,319.1,S07,R0360,Z8,12.953391,77.545507,delivered,13,21,01-11-2025,12.970112,77.556587,44195
O0000029,U001912,Bengaluru,20-11-2025 10:21,20-11-2025 10:27,P0016,household,3,189.43,S02,R0565,Z20,13.010852,77.609737,delivered,6,10,20-11-2025,13.006367,77.602729,86203
O0000030,U012664,Bengaluru,06-11-2025 10:35,06-11-2025 10:41,P0030,beverages,1,138.84,S08,R0094,Z11,12.944696,77.562416,delivered,6,10,06-11-2025,12.950394,77.558158,51894
O0000031,U020315,Bengaluru,06-11-2025 15:19,06-11-2025 15:26,P0070,personal_care,2,247.98,S08,R0701,Z1,12.950703,77.559746,delivered,7,15,06-11-2025,12.950394,77.558158,51894
O0000032,U038629,Bengaluru,18-11-2025 15:17,18-11-2025 15:23,P0110,dairy,1,194.99,S01,R0396,Z5,12.952832,77.611194,delivered,6,15,18-11-2025,12.949887,77.614547,101404
O0000033,U030954,Bengaluru,12-11-2025 17:05,12-11-2025 17:15,P0033,grocery,3,244.93,S06,R0899,Z23,12.969573,77.576605,delivered,10,17,12-11-2025,12.976327,77.585333,70255
O0000034,U012029,Bengaluru,03-11-2025 17:25,03-11-2025 17:31,P0037,grocery,3,460.03,S05,R0281,Z2,12.990975,77.580625,delivered,6,17,03-11-2025,13.001428,77.581822,85507
O0000035,U034766,Bengaluru,31-10-2025 22:59,31-10-2025 23:14,P0029,grocery,1,418.26,S05,R0013,Z12,12.984761,77.59657,delivered,15,22,31-10-2025,13.001428,77.581822,85507
O0000036,U030169,Bengaluru,03-11-2025 18:23,03-11-2025 18:27,P0045,fruits,1,474.22,S04,R0748,Z18,12.943211,77.613715,delivered,4,18,03-11-2025,12.942007,77.616026,75662
O0000037,U024371,Bengaluru,06-11-2025 13:05,06-11-2025 13:11,P0044,grocery,1,219.02,S06,R0446,Z3,12.969464,77.586423,delivered,6,13,06-11-2025,12.976327,77.585333,70255
O0000038,U028041,Bengaluru,09-11-2025 18:12,09-11-2025 18:18,P0037,grocery,3,437.03,S03,R0721,Z14,12.944518,77.602386,delivered,6,18,09-11-2025,12.950051,77.59937,111200
O0000039,U013450,Bengaluru,28-11-2025 20:18,28-11-2025 20:26,P0014,fruits,3,480.66,S02,R0560,Z18,13.013659,77.602165,delivered,8,20,28-11-2025,13.006367,77.602729,86203
O0000040,U033697,Bengaluru,03-11-2025 07:20,03-11-2025 07:24,P0040,personal_care,1,87.23,S06,R0163,Z23,12.974335,77.580792,delivered,4,7,03-11-2025,12.976327,77.585333,70255
O0000041,U017135,Bengaluru,12-11-2025 16:51,12-11-2025 16:58,P0096,fruits,3,451.12,S05,R0564,Z16,13.00467,77.582348,delivered,7,16,12-11-2025,13.001428,77.581822,85507
O0000042,U014163,Bengaluru,20-11-2025 15:25,20-11-2025 15:31,P0099,fruits,2,413.55,S02,R0337,Z11,13.00639,77.611895,delivered,6,15,20-11-2025,13.006367,77.602729,86203
O0000043,U016584,Bengaluru,15-11-2025 07:38,15-11-2025 07:43,P0077,personal_care,1,517.04,S01,R0391,Z5,12.952212,77.60579,delivered,5,7,15-11-2025,12.949887,77.614547,101404
O0000044,U037769,Bengaluru,21-11-2025 06:44,21-11-2025 06:50,P0046,snacks,2,335.9,S03,R0787,Z28,12.951584,77.610654,delivered,6,6,21-11-2025,12.950051,77.59937,111200
O0000045,U010177,Bengaluru,13-11-2025 23:07,13-11-2025 23:15,P0059,dairy,1,333.18,S03,R0856,Z28,12.948111,77.588353,delivered,8,23,13-11-2025,12.950051,77.59937,111200
O0000046,U009604,Bengaluru,21-11-2025 10:32,21-11-2025 10:35,P0040,personal_care,2,91.59,S03,R0024,Z22,12.950874,77.597643,delivered,3,10,21-11-2025,12.950051,77.59937,111200
O0000047,U027851,Bengaluru,04-11-2025 20:04,04-11-2025 20:12,P0003,grocery,1,265.88,S01,R0761,Z19,12.94669,77.617135,delivered,8,20,04-11-2025,12.949887,77.614547,101404
O0000048,U039305,Bengaluru,17-11-2025 15:14,17-11-2025 15:20,P0059,dairy,3,333.18,S06,R0291,Z24,12.981784,77.582214,delivered,6,15,17-11-2025,12.976327,77.585333,70255
